representation,outlier_set,category,a,b,c,d,test_used,odds_ratio,p_value_raw,p_value_fdr,significant_fdr
R0,FLAGGED,orthographic_character_form,1597,0,519,7,fisher_exact,inf,5.560833856591369e-05,0.0005004750470932232,True
R0,FLAGGED,punctuation_clause_relation,229,1368,82,444,chi_square,0.9063970902866924,0.4819504774509067,1.0,False
R0,FLAGGED,lexical_substitution,182,1415,83,443,chi_square,0.686500063859679,0.008342485895299186,0.05005491537179511,False
R0,FLAGGED,function_word_change,2,1595,1,525,fisher_exact,0.658307210031348,0.8463925519194592,1.0,False
R0,FLAGGED,pronoun_shift,1,1596,0,526,fisher_exact,inf,0.7522373999057936,1.0,False
R0,FLAGGED,negation_modality_change,0,1597,0,526,fisher_exact,,1.0,1.0,False
R0,FLAGGED,word_order_syntactic_shift,1,1596,0,526,fisher_exact,inf,0.7522373999057936,1.0,False
R0,FLAGGED,addition_deletion,11,1586,1,525,fisher_exact,3.641235813366961,0.1618107234450874,0.5825186044023146,False
R0,FLAGGED,multi_factor_complex,0,1597,0,526,fisher_exact,,1.0,1.0,False
R1,FLAGGED,orthographic_character_form,1597,0,519,7,fisher_exact,inf,5.560833856591369e-05,0.0005004750470932232,True
R1,FLAGGED,punctuation_clause_relation,270,1327,82,444,chi_square,1.1016964728803278,0.4810621458627352,1.0,False
R1,FLAGGED,lexical_substitution,190,1407,83,443,chi_square,0.720750807066218,0.021061039286387015,0.09477467678874157,False
R1,FLAGGED,function_word_change,1,1596,1,525,fisher_exact,0.32894736842105265,0.9387015244818764,1.0,False
R1,FLAGGED,pronoun_shift,1,1596,0,526,fisher_exact,inf,0.7522373999057936,1.0,False
R1,FLAGGED,negation_modality_change,0,1597,0,526,fisher_exact,,1.0,1.0,False
R1,FLAGGED,word_order_syntactic_shift,0,1597,0,526,fisher_exact,,1.0,1.0,False
R1,FLAGGED,addition_deletion,10,1587,1,525,fisher_exact,3.3081285444234405,0.20102561119018975,0.6030768335705693,False
R1,FLAGGED,multi_factor_complex,0,1597,0,526,fisher_exact,,1.0,1.0,False
